id	surface	gloss	level
70729	시 앵커	floating anchor	
70730	시 짓는 사람	rhymer	
70731	시.읍.면.리의	communal	
70732	시가	the streets of a town	
70733	시가	market, market price	
70734	시가	the current price	
70735	시가	rhyme, rime, verse	
70736	시가 기준의 국민 총생산	market value GNP	
70737	시가란	poets corner	
70738	시가불이		
70739	시가액		
70740	시가에 의해 찬미되지 않은	unsung	
70741	시가전	street fighting, street battles	
70742	시가전차	street car, tram, tramcar	
70743	시가지		
70744	시가행진		
70745	시각	The time of day	C
70746	시각	angle/point of view.  관점.	C
70747	시각	eyesight, sight, vision	
70748	시각시	concrete poetry	
70749	시각와어	eye dialect	
70750	시각운	eye rhyme	
70751	시각적		
70752	시각차		
70753	시각화	visualization	
70754	시간	Time	A
70755	시간	a Length of time (한시간 동안)	A
70756	시간 기록계	timer	
70757	시간 기록기	timer	
70758	시간 대칭의	timesymmetric	
70759	시간 생물학	chronobiology	
70760	시간 절약의	timesaving	
70761	시간 지연방식	delayed time system	
70762	시간 측정	chronometry	
70763	시간 할아버지	Father Time	
70764	시간가치	an option's time value	
70765	시간광고 시간	space	
70766	시간급 노동자	timeworker	
70767	시간대	time zone	
70768	시간론		
70769	시간마다의	horal	
70770	시간문제		
70771	시간성		
70772	시간에 대다	catch	
70773	시간이 걸리게 하다	retard	
70774	시간이 걸리는	dreich	
70775	시간이 걸리는	timeconsuming	
70776	시간자	necrophile	
70777	시간적		
70778	시간적으로	temporalty	
70779	시간제		
70780	시간제 노동자	timer	
70781	시간제 잡일	char	
70782	시간제의	sidebar	
70783	시간제일	timework	
70784	시간주의적		
70785	시간축	time base	
70786	시간표	schedule, timetable	
70787	시거	cigar	
70788	시거 모양의	cigar-shaped	
70789	시거레트	Cigarette hull	
70790	시거의	stadia	
70791	시거의	tachymeter	
70792	시게	sourly	
70793	시게 되는	acescent	
70794	시게 하다	acidify, to make sour	
70795	시게라	shigella	
70796	시경	right ascension	
70797	시경찰국	city police	
70798	시경찰국장	polic commissioner	
70799	시계	clock, timekeeper, timepiece	A
70800	시계	field of vision	
70801	시계공	horologer	
70802	시계문자판	clockface	
70803	시계산	modular arithmetic	
70804	시계수리인	watchmaker	
70805	시계장치	clockwork	
70806	시계제조공	clockmaker	
70807	시계줄	fob chain	
70808	시계초	passionflower	
70809	시계추		
70810	시계탑	clock tower	
70811	시계풀	granadilla	
70812	시계학	horology	
70813	시곗		
70814	시골	Countryside	B
70815	시골 대학	fresh water college	
70816	시골 멋쟁이	swain	
70817	시골 사람	villager	
70818	시골 사람들	countryfolk	
70819	시골 유지	squire	
70820	시골 읍	country town	
70821	시골 읍	podunk	
70822	시골 젊은이	Corydon	
70823	시골 처녀	shepherdess	
70824	시골 친척	country cousin	
70825	시골 파이	cottage pie	
70826	시골길	lane	
70827	시골뜨기	country bumpkin, peasant, yokel	
70828	시골뜨기가 되다	provincialize	
70829	시골뜨기의	rustic	
70830	시골로 보내다	rusticate	
70831	시골로 은퇴하다	rusticate	
70832	시골로 쫓음	rustication	
70833	시골사람	farmer	
70834	시골사투리	brogue	
70835	시골상이	rustication	
70836	시골신사	squire	
70837	시골에 가까운 교외	ruburbia	
70838	시골에 머묾	villeggiatura	
70839	시골에서 살다	rusticate	
70840	시골에서 자라난	country-bred	
70841	시골에서 자란	country	
70842	시골에서의 휴일	villeggiatura	
70843	시골여자	countrywoman	
70844	시골의	bucolic, rustic	
70845	시골의 대지주	squire	
70846	시골의 잡화점	country store	
70847	시골집	cot, cottage	
70848	시골집에 사는 사람	cottager	
70849	시골춤의 일종	virginia reel	
70850	시골태생의	country-born	
70851	시골투의 말	ruralism	
70852	시골티	provincialism, the country	
70853	시골티나는	countrified, smalltown	
70854	시골풍	ruralism	
70855	시골풍	rurality	
70856	시골풍습	rurality	
70857	시골풍으로 만들다	provincialize	
70858	시골풍으로 하다	ruralize	
70859	시골풍으로 하다	rusticate	
70860	시골풍의	countrylike	
70861	시골풍의	downhome	
70862	시공	doing construction work (apts, buildings ... after buying & before moving in)	
70863	시공	spacetime	
70864	시공간	time and space	
70865	시공간적		
70866	시공권		
70867	시공사	a kind of construction company	
70868	시공적인	spatio-temporal	
70869	시공채	corporation stock	
70870	시교수휵		
70871	시구	line of a poem, a verse, a stanza	
70872	시구르트	Sigurd	
70873	시국	the present situation	
70874	시군	range	
70875	시굴	boring	
70876	시굴공	borehole	
70877	시굴자	prospector	
70878	시굴정	wildcat	
70879	시굴하다	prospect	
70880	시굴하다	wildcat	
70881	시궁창	sewage, a ditch	
70882	시권	hour circle	
70883	시극		
70884	시극론		
70885	시극적		
70886	시금	assay	
70887	시금석	test	
70888	시금석	touchstone	
70889	시금치	Spinach	C
70890	시금치같은	spinaceous	
70891	시금치의	spinaceous	
70892	시금하다	assay	
70893	시급하다	to be urgent/pressing	
70894	시기	The time, the season	C
70895	시기	time, age, period	
70896	시기	an opportunity, a chance	
70897	시기	An opportunity,chance	C
70898	시기 나쁜	inopportune	
70899	시기 상조	prematurity	
70900	시기 적절함	timeliness	
70901	시기가 나쁜	unchancy	
70902	시기가 나쁜	unseasonable	
70903	시기를 놓친	inopportune	
70904	시기를 놓친	mistimed	
70905	시기상조	premature, too early	
70906	시기상조론		
70907	시기심		
70908	시기에 맞게	fitly	
70909	시기에 알맞게	seasonably	
70910	시기에 알맞은	timeful	
70911	시기적		
70912	시기적절		
70913	시기하는	envious	
70914	시기하다	to begrudge, to envy	
70915	시꺼멓게	to be jet-black, dark	
70916	시꺼멓다	to be jet-black, dark	
70917	시끄러운	clamorous, noisy, vociferous	
70918	시끄러운 곳	bear garden	
70919	시끄러운 모임	shindig	
70920	시끄러운 소리	Jangle	
70921	시끄러운 여자	loudspeaker	
70922	시끄러운 외침	clamor, -our	
70923	시끄러운잔소리	yap	
70924	시끄러움	noise, noisiness	
70925	시끄럽다	To be noisy,boisterous	B
70926	시끈가오리	an electric ray	
70927	시나리오	Scenario	C
70928	시나리오 라이터	scenarist	
70929	시나리오화하다	script	
70930	시나몬 토스트	cinnamon toast	
70931	시내	a stream (with water in it)	
70932	시내	The city	B
70933	시내버스	Inner-city bus	B
70934	시내산	Sinai	
70935	시냅스	synapse	
70936	시냅시스	synapsis	
70937	시냅토솜	synaptosome	
70938	시너놀이	gluesniffing	
70939	시네라리아	cineraria	
70940	시네라마	Cinerama	
70941	시네마 베리테	cinema verite	
70942	시네마 콤플렉스	cinema complex	
70943	시네마스코프	CinemaScope	
70944	시네틱스	synectics	
70945	시녀	chambermaid, handmaid(en), ladyinwaiting	
70946	시뇽	chignon	
70947	시누소이드	sinusoid	
70948	시누이	sisterinlaw	
70949	시늉	mimicry, imitation	
70950	시니	shinny	
70951	시니시즘	cynicism	
70952	시니컬하다	to be cynical	
70953	시닉학파	cynic	
70954	시다	to be dazzling, glaring, blinding	
70955	시다리다	to be afflictd, troubled	
70956	시단	parnassus	
70957	시달		
70958	시달리다	to be afflicted/arrassed/annoyed/bothered by sth	
70959	시답지않다	be unsatisfactory	
70960	시대	An age,period	B
70961	시대 구분	periodization	
70962	시대 의상	costume	
70963	시대 정신에 부합되는	right-on	
70964	시대가 거슬러 올라가다	ascend	
70965	시대극	costume piece (play)	
70966	시대론		
70967	시대병		
70968	시대사		
70969	시대상		
70970	시대성		
70971	시대에 뒤떨어지게 하다	outdate	
70972	시대에 뒤떨어지다	superaddition	
70973	시대에 뒤떨어지하다	outmode	
70974	시대에 뒤떨어진	irrelevant, outmoded, outofdate	
70975	시대에 뒤지게 하다	antiquate	
70976	시대에 뒤지게 하다	fossilize	
70977	시대에 뒤지지 않는	uptodate	
70978	시대에 뒤진	belated, dated, fossil, mossgrown, motheaten	
70979	시대에 뒤진 사람	fogy	
70980	시대에 뒤진 사람	hasbeen	
70981	시대에 뒤진다 하여 물리치다	superannuate	
70982	시대에 뒤진사람	fog(e)y	
70983	시대에 영합하는 사람	timeserver	
70984	시대에뒤떨어진	oldfogyish	
70985	시대에뒤진	antediluvian	
70986	시대에뒤진	antemeridiem	
70987	시대의 금화	Jacobus	
70988	시대적	Of the times	C
70989	시대정신	time sprit, Zeitgeist	
70990	시대착오	anachronism	
70991	시대착오적		
70992	시댁	one's husband's family/house	C
70993	시덕자창		
70994	시도	An attempt,test	C
70995	시도 때도 없이	regardless of time or place	
70996	시도관		
70997	시도지교		
70998	시도하다	To try,attempt	B
70999	시도해보다	try	
71000	시돈	Sidon	
71001	시동	the ignition (switch)	
71002	시동 장치	starter	
71003	시동기	tripper	
71004	시동되다	catch	
71005	시동생	the younger brother of one`s husband	
71006	시드	Cid	
71007	시드기야	Zedekiah	
71008	시드하다	seed	
71009	시든	faded, sapless, withered, wizen(ed)	
71010	시들게 하다	blast	
71011	시들게 하다	nip	
71012	시들다	To wither,die,fade	C
71013	시들지 않는	amaranthine	
71014	시들지 않는	fadeless	
71015	시들지않는꽃	amaranth	
71016	시들하다	unsatisfactory, dissatisfied	
71017	시디	C.D.	C
71018	시디롬	Cd-rom	C
71019	시라큐스	Syracuse	
71020	시럽	egg cream, syrup	
71021	시럽의	syrupy	
71022	시렁	a wall, a shelf, a rack	
71023	시렁 가래	trestletree	
71024	시레	cire	
71025	시레트	Syrette	
71026	시력		
71027	시력	eyesight, vision, visual acuity	
71028	시력 예민	oxyopia	
71029	시력 측정 의사	optometrist	
71030	시력검사표	eye chart	
71031	시력의	optic	
71032	시력이 없는	sightless	
71033	시력이 없는	visionless	
71034	시력이 좋은	clear-sighted	
71035	시력측정장치	optometer	
71036	시련	trial, tribulation, testing, fire, infliction	
71037	시령	shelf	
71038	시로 고치다	versify	
71039	시로 만들다	versify	
71040	시로미	crowberry	
71041	시로미	heathberry	
71042	시로짓다	berhyme	
71043	시로코 바람	sirocco	
71044	시론	arspoetica, essay or criticism of poems, poetics	
71045	시론적		
71046	시료	the thing being sampled	
71047	시료원	charity	
71048	시료채취관	core tube	
71049	시루떡	steamed rice cake	
71050	시룽거리기	footsie	
71051	시류	the times, .. of the day	
71052	시름	languor, worry, a pinch in the brain/ass	
71053	시리다	your feet or your hands get cold	
71054	시리아	Syria	
71055	시리우스	Sirius	
71056	시리즈	Series	B
71057	시립	managed by the city	
71058	시마	sima	
71059	시마진	simazine	
71060	시맥	rib, vein, venation	
71061	시메티딘	cimetidine	
71062	시멘타이트	cementite	
71063	시멘트	Cement	C
71064	시멘트 믹서	cement mixer	
71065	시멘트결합	cementation	
71066	시멘트로 바르다	cement	
71067	시멘트질	cementum	
71068	시묘		
71069	시무룩함	pet	
71070	시무룩해서	broodingly	
71071	시무룩해지다	sulk	
71072	시무식		
71073	시무책		
71074	시문	poems and essays	
71075	시므온	Simeon	
71076	시므온의 노래누가복음229-3	Nunc Dimittis	
71077	시민	Residents of a city	B
71078	시민 라디오	CB radio	
71079	시민 문화 회관	community center	
71080	시민 방위	citizen defense	
71081	시민 밴드	citizens band	
71082	시민 체포	citizen's arrest	
71083	시민군	the citizen`s army, a militia	
71084	시민권	citizen	
71085	시민권 발탈	denaturalization	
71086	시민권 상실	civil death	
71087	시민권 증서	citizenship papers	
71088	시민권등이 있는 공민	freeman	
71089	시민답게	civilly	
71090	시민라디오의 소유자	C.B.er, CBer	
71091	시민밴드 라디오	citizens band radio	
71092	시민복	civvies	
71093	시민상		
71094	시민생활	civil life	
71095	시민성		
71096	시민운동		
71097	시민으로서	civic	
71098	시민으로서의	civil	
71099	시민의	civic	
71100	시민의 영관	civic crown	
71101	시민적		
71102	시민적 불복종	civil disobedience	
71103	시민적 자유	civil liberty	
71104	시민정신의 결여	incivism	
71105	시민주의	civicism	
71106	시바	Siva	
71107	시발		
71108	시발역		
71109	시발점		
71110	시발점에서 주어진 우위	head start	
71111	시방		
71112	시방		
71113	시방기	slubber	
71114	시방세계	the infinitude of the Buddha	
71115	시배분	time sharing	
71116	시범	show-how, being made to serve as an example for others to follow	
71117	시범 부대	drill team	
71118	시범적		
71119	시범학교		
71120	시법 학교	model	
71121	시베리아	Siberia	
71122	시베리아 꽃 양귀비	Iceland poppy	
71123	시베리아 횡단의	transSiberian	
71124	시베리아담비	kolinsky	
71125	시베리아의	Siberian	
71126	시벡스	civex	
71127	시보	time signal	
71128	시보레	Chevrolet	
71129	시보의 삐이 소리	pip	
71130	시복	beatification	
71131	시복하다	beatify	
71132	시봉	serve one's parents faithfully	
71133	시부	시아버지.  father-in-law	
71134	시부모	one's husband's parents	B
71135	시부시자		
71136	시분할	timesharing	
71137	시분할하다	timeshare	
71138	시비	right and wrong, who is right	
71139	시비	city expenses	
71140	시비	a stone with a poem written on it	
71141	시비곡직	옳고 + 고르고 + 굽고 + 곧음 = saying what is right and wrong	
71142	시비법		
71143	시비재	consumer goods, articles	
71144	시비조	high words	
71145	시비지심		
71146	시비하다	to try and separate right from wrong	
71147	시빗		
71148	시뻘건	crimson	
71149	시뻘겋다	bright red	
71150	시쁘다	unsatisfied, discontent	
71151	시사	a suggestion	
71152	시사	current events, news of the day	
71153	시사	a test-firing as of a missile	
71154	시사 잡지	newsmagazine	
71155	시사 풍자의 익살극	revue	
71156	시사=	preview	
71157	시사문제 연구	current events	
71158	시사문제의	topical	
71159	시사성		
71160	시사실		
71161	시사여생		
71162	시사적	related to social events of the time	
71163	시사점	implications (e.g. of research)	
71164	시사주간지	newsweekly	
71165	시사하는 바가 많은	thoughtprovoking	
71166	시사하다	to imply, hint at	
71167	시사해설가	news analyst	
71168	시사해설자	commentator	
71169	시사회	a  prerelease of a movie	
71170	시사회보	newsletter	
71171	시사회장		
71172	시산표	trial balance	
71173	시산표	work sheet	
71174	시산혈해		
71175	시상	getting a prize	
71176	시상	a poetic imagination; a poetic feeling	
71177	시상	thalamus	
71178	시상식	an award ceremony	
71179	시상식장	a prize-winning restaurant	
71180	시샘	envy	
71181	시샛	Seasat	
71182	시생대	Archean	
71183	시생대	Archeozoic	
71184	시선	one's line of vision	C
71185	시선 속도	radial velocity	
71186	시선이 마주침	eye contact	
71187	시설	establishment,institution	B
71188	시설물	facilities, bridges	
71189	시설비		
71190	시설외에서의 빈민 구제	outrelief	
71191	시설의	institutional	
71192	시설이 덮인	glaucous	
71193	시성 조사 심문 검사	devil's advocate	
71194	시성식	canonization	
71195	시성하다	canonize	
71196	시성하다	saint	
71197	시세	market price, quotation, rate	
71198	시세	time, age, era	
71199	시세 없는	unpopular	
71200	시세가 강세의	hard	
71201	시세가오르다	appreciate	
71202	시세보다 싼 값으로 빌려주다=	underlet	
71203	시세션식주의	secessionism	
71204	시세에 영합하는 사람	temporizer	
71205	시세표	current price tag, price list	
71206	시소	teeter	
71207	시소	test case	
71208	시소놀이	seesaw	
71209	시속	hourly rate or speed	
71210	시속 55마일	double nickel	
71211	시쇄본		
71212	시수	jugum	
71213	시숙	brotherinlaw, motherinlaw	
71214	시술		
71215	시술가		
71216	시술법		
71217	시술소		
71218	시술적		
71219	시스템	System	C
71220	시스토 선층	golden nematode	
71221	시스톡스	Systox	
71222	시스투스	cistus	
71223	시스틴	cystine	
71224	시승	trial run	
71225	시시각각	every instant	
71226	시시덕거리는	flirtatious, flirting, flirty	
71227	시시덕거리다	to flirt around	
71228	시시덕거림	carryingon, flirtation, jesting	
71229	시시비비	what`s right and what`s wrong. 옳을 것과 그른 것을 구별한다는 뜻.	
71230	시시콜콜	inquisitively pestering	
71231	시시하게 하다	mediocritize	
71232	시시하다	of no value, worthless; fiddlefaddle, fiddlesticks, humbug	
71233	시시하다!	rubbish	
71234	시시한	cheap, crappy, rubbishy, sixpenny, smalltime, trashy, trifling	
71235	시시함	pettiness	
71236	시시해	nuts	
71237	시시해!	fiddlede(e)dee	
71238	시식	foretasting, prelibation, taste a little first to see, checking out a skill ( 재주)  beforehand	
71239	시식자	a sampler	
71240	시식하다	foretaste, sample food/drink first	
71241	시식회		
71242	시신	loved one	
71243	시신	a dead body	
71244	시신경		
71245	시신세	Eocene	
71246	시심	muse	
71247	시아노 박테리아	cyanobacterium	
71248	시아노아세틸렌	cyanoacetylene	
71249	시아버지	one's husband's father	B
71250	시아파 사람	Shiite	
71251	시아파의 교의	Shiism	
71252	시아파의 사람	Shiite	
71253	시안	a tentative trial, e.g. a trial balloon	
71254	시안	CYAN, a cyanogen	
71255	시안계	a cyanometer	
71256	시안산	cyanic acid	
71257	시안산염	cyanate	
71258	시안화물	prussiate	
71259	시안화물	cyanide	
71260	시안화하다	cyanize	
71261	시암말의	Siamese	
71262	시암의	Siamese	
71263	시야	Visual field	C
71264	시야 측정	perimetry	
71265	시야가 넓은	pantoscopic	
71266	시야가 넓은망원경 등	widefield	
71267	시야가 매우 좁은	tunnelvisioned	
71268	시야가 좁은	parishpump	
71269	시야계	campimeter	
71270	시야비야		
71271	시야제	perimeter	
71272	시약	chemical reagent	
71273	시어		
71274	시어머니	one's husband's mother	B
71275	시어지다	acidify	
71276	시어진	foxed	
71277	시에나색	sienna	
71278	시에나토	sienna	
71279	시에라네바다 산맥	Sierranevada	
71280	시에라마드레 산맥	Sierramadre	
71281	시엠	commercial, commercial message	
71282	시여	dispensation	
71283	시여물	beneficence	
71284	시여물	dole	
71285	시여하는	dispensatory	
71286	시여하는 사람	dispenser	
71287	시역	regicide	
71288	시역 렌즈	field lens	
71289	시역의	regicidal	
71290	시역자	regicide	
71291	시연	preview, rehearsal, a practice demo	
71292	시연하다	to rehearse	
71293	시연회	a recital	
71294	시영		
71295	시오니스트	Zionist	
71296	시오니즘	Zionism	
71297	시온 산	Zion	
71298	시온주의	Zionism	
71299	시온주의의	Zionist	
71300	시온주의자	Zionist	
71301	시왕전		
71302	시외	Outside the city, suberbs	B
71303	시외국번	area code	
71304	시외버스	Inter-city bus	C
71305	시용	Chillon	
71306	시우쇠	pig iron	
71307	시운		
71308	시운전	dry run	
71309	시운전	trial run	
71310	시원	the beginning of something	
71311	시원섭섭하다	to have mixed emotions	
71312	시원스러운	cool	
71313	시원스러운	spontaneous	
71314	시원스럽다	lukewarm, tepid (water) (2) refreshing	
71315	시원적	inceptive	
71316	시원질	archoplasm	
71317	시원하다	to be cool,refreshing	A
71318	시월	October	A
71319	시위	a string, a bowstring	
71320	시위	A demonstration	C
71321	시위 운동	a demonstration, a rally	
71322	시위 운동자	a demonstrator	
71323	시위대	demonstrators	
71324	시위소찬		
71325	시위운동	a demonstration, a rally	
71326	시위자	a manifestant	
71327	시위행진	a demonstration parade	
71328	시음		
71329	시음용 큰 술잔	dick glass	
71330	시의	civic, municipal	
71331	시의	parnassian, poetic, Eleusinian	
71332	시의	suitable for that time	
71333	시의 극장가	Times Square	
71334	시의성		
71335	시의회	the city council, town council	
71336	시의회의원	a city councilman	
71337	시이모		
71338	시이불견		
71339	시인	A poet	B
71340	시인	approbation, approval, avowal, confirmation, endorsement	
71341	시인들	parnassus	
71342	시인적		
71343	시인하다	approbate, approve, avow, uphold	
71344	시일	time,days	C
71345	시일의 경과	efflux	
71346	시일전기	prolepsis	
71347	시작	The beginning	A
71348	시작가	versifier	
71349	시작되다	To begin,start	A
71350	시작의	incipient	
71351	시작의	opening	
71352	시작점		
71353	시작종		
71354	시작품의	prepreduction	
71355	시작하는 사람	starter	
71356	시작하다	To start,begin	A
71357	시작한	inchoate	
71358	시장	Mayor	C
71359	시장	bazaar, market, marketplace; (2) a market	A
71360	시장 가격	market price, market value	
71361	시장 가치	vendibility	
71362	시장 분석	marketing research, market analysis	
71363	시장 상인	a marketer	
71364	시장 세분화	market segmentation	
71365	시장 소식통	market commentator	
71366	시장 점유율	market share	
71367	시장 조사	market research	
71368	시장가격	market price	
71369	시장기	hunger	
71370	시장부인	mayoress	
71371	시장성	marketability, merchantability	
71372	시장성이 높은	marketable	
71373	시장실		
71374	시장적		
71375	시장통		
71376	시장하다	to be hungry, to be in a state of hunger	
71377	시장화		
71378	시재조사	stocktaking	
71379	시저	Caesar	
71380	시적	related to time, time-wise	
71381	시적	poetical	
71382	시적인	poetic	
71383	시전	a shop in the city	
71384	시전	a book to help you understand poetry	
71385	시절	season,time,occasion	B
71386	시점	Point in time	C
71387	시정	civicism, taking part in government	
71388	시정	city political affairs	
71389	시정	redressing/fixing something that has bad	
71390	시정	poetry, poetic feeling	
71391	시정무뢰		
71392	시정신	a poetic spirit	
71393	시정연구	civics	
71394	시정요구	an administrative request	
71395	시정하다	to redress, reform (your imperfections)	
71396	시정학	civics	
71397	시제	indefinite tense	
71398	시제	reagent	
71399	시제품	a trial product	
71400	시조	father, the founder, originator, primogenitor	
71401	시조	a Korean phrase or saying	
71402	시조례	city ordinance	
71403	시조비		
71404	시조새	archaeopteryx	
71405	시조신		
71406	시조제		
71407	시종	the beginning and the end	
71408	시종	chamberlain, a lordinwaiting	
71409	시종여일	from beginning to end without change	
71410	시종일관	performing some task all the way through. 처음부터 끝까지 늘 한결같다.; self-consistency	
71411	시종일관하다	to be inherently consistent	
71412	시주	almsgiver	
71413	시주하다	to give money for a priest to grant prayers	
71414	시준	collimation (of a telescope)	
71415	시준기	collimator	
71416	시준의	collimator	
71417	시줏		
71418	시중	In the city	C
71419	시중	waiting on, taking care of	
71420	시중가		
71421	시중꾼	an attendant	
71422	시중들다	to tend upon, to wait on	
71423	시중듦	waiting	
71424	시중은행	a commercial bank, a bank with a main branch in the city and branches all over the country	
71425	시중하다	serve	
71426	시즌	Season	C
71427	시즌 전	preseason	
71428	시지		
71429	시지각		
71430	시지각적		
71431	시집	A collection of poems	C
71432	시집	one's husband's home/family	B
71433	시집가다	To take a husband	C
71434	시집보내다	espouse	
71435	시집살이	daily life for a married woman	
71436	시집의	anthological	
71437	시짓는 사람	rhymist	
71438	시짱	Xizang	
71439	시차	a time difference bc of time zones	
71440	시차	parallax	
71441	시차방식	stagger	
71442	시차의	paralinguistics	
71443	시차제	stagger system	
71444	시착실	fitting room	
71445	시찰	inspection, looksee, review, visitation	
71446	시찰 여행	doubleo	
71447	시찰가다	visit	
71448	시찰자	inspector	
71449	시찰하다	inspect	
71450	시찰하다	review	
71451	시참사 회원	bailie	
71452	시참사의원	alderman	
71453	시창	sightreading	
71454	시책		
71455	시책		
71456	시천주		
71457	시청	watching TV or listening to a speech (진술)	
71458	시청	City hall	B
71459	시청각	audiovisual	
71460	시청각적		
71461	시청관리	portreeve	
71462	시청률	Popularity rating	C
71463	시청사	city hall	
71464	시청언동		
71465	시청자	TV audience member	B
71466	시청층		
71467	시체	body, cadaver, carcase, cold meat, corpse, corpus, croppy, flybait, lich, necoro-, relic, stiff	
71468	시체 공식소	morgue	
71469	시체 공포	necrophoabia	
71470	시체 도굴자	resurrectionist	
71471	시체 도둑	snatcher	
71472	시체 성애	necrophily	
71473	시체 싸는 천	windingsheet	
71474	시체 임시 안치소	mortuary	
71475	시체 해부의	autoptic	
71476	시체같은	cadaverous	
71477	시체곁에 켜놓는 촛불	corpse candle	
71478	시체도굴	resurrectionism	
71479	시체를 검시하다	necroscopy	
71480	시체를 검시하다	necrosy	
71481	시체식	necrophagy	
71482	시체실		
71483	시체애호자	necrophile	
71484	시체에 입히는 옷	grave clothes	
71485	시체의 도굴	resurrection	
71486	시쳇		
71487	시초	inception, origination	
71488	시초	a collection of selected poems	
71489	시초에	initially	
71490	시초의	germinant, inchoative, initial	
71491	시추		
71492	시추공	borehole	
71493	시추기	drilling machine	
71494	시추선	a drillship	
71495	시치미 떼다	dissemble	
71496	시치미 떼다	possum	
71497	시치미떼는 사람	dissembler	
71498	시치미떼는 사람	dissimulator	
71499	시치미뗌	dissemblance	
71500	시칠리아 무용	siciliano	
71501	시칠리아 인	sicilian	
71502	시칠리아섬	Sicily	
71503	시침	hour hand	
71504	시침 떼는	mim	
71505	시침질	basting	
71506	시침질	tack	
71507	시침질 솔기	basting	
71508	시침질 하기	tacking	
71509	시침질 하는 사람	tacker	
71510	시카고	Chicago	
71511	시카고 시민	Chicagoan	
71512	시카고 조약	Chicago Convention	
71513	시커매지다	concluding,ending	
71514	시커멓게	jet-black	
71515	시커멓다	deep, jet-black	
71516	시커메지다	concluding,ending	
71517	시컨트	secant	
71518	시케인	chicane	
71519	시크교	Sikhism	
71520	시크교도의	Sikh	
71521	시크라메이트	cyclamate	
71522	시큰거리다	to tingle	
71523	시큰둥하다	impertinent, saucy, pert, forward	
71524	시클라멘	cyclamen	
71525	시클로스포린	cyclosporine	
71526	시클로포스파미드	cyclophosphamide	
71527	시클로헥산	cyclohexane	
71528	시클리드	cichlid	
71529	시큼하다	to be sour (esp. if after food has gone bad)	
71530	시큼한	sour	
71531	시큼한	sourish	
71532	시키는 대로 하는	compliant	
71533	시키는대로 움직이다	obey	
71534	시키는대로 하는	flexible	
71535	시키다	To make	B
71536	시킴	Sikkim	
71537	시타르	sitar	
71538	시턴	cittern	
71539	시토 수도회의 수도사	Cistercian	
71540	시토신의 중요 성분	cytosine	
71541	시토크롬	cytochrome	
71542	시토키닌	cytokinin	
71543	시토회 수도사	Bernardine	
71544	시트	sheet	
71545	시트감	sheet	
71546	시트로넬라시트로넬라 기름	citronella	
71547	시트로넬랄	citronellal	
71548	시트론	citron	
71549	시트론 멜론	citron melon	
71550	시트론껍질	citron	
71551	시트론색	citron	
71552	시트론의 열매	citron	
71553	시트린	citrin	
71554	시트와베갯잇	bed linen	
71555	시트지	the sheet on the back of a product	
71556	시티 매거진	city magazine	
71557	시티그램	scintigram	
71558	시티상태	city	
71559	시판		
71560	시판사	recorder	
71561	시패하다	go(run) awry	
71562	시퍼렇게 멍이 든	blackandblue	
71563	시퍼렇다	to have a sharp edge	
71564	시퍼로브	chifforobe	
71565	시퍼트 은하	Seyfert	
71566	시편	a psalm, a psalmbook	
71567	시퐁	chiffon	
71568	시푸드	seafood	
71569	시프레	chypre	
71570	시프트다운	downshift	
71571	시프트다운하다	downshift	
71572	시필서영		
71573	시학	arspoetica	
71574	시한	time limit, a deadline, a time period	
71575	시한부	a terminally ill patient 시한부 환자	
71576	시한폭탄	a time bomb	
71577	시합	A contest,match	C
71578	시합 전의	prefight	
71579	시합개시	faceoff	
71580	시합개시전에 하는 연습	knockup	
71581	시합전 토스 배팅	pepper game	
71582	시해	regicide	
71583	시행	carrying out, actually doing, putting into effect, enforcement	
71584	시행관	an enforcement officer	
71585	시행령	an enforcement order	
71586	시행령안		
71587	시행일	date of enactment/adoption	
71588	시행자	an enforcer	
71589	시행착오	trial and error	
71590	시행하다	to enforce, to execute	
71591	시헌력		
71592	시험	A test	A
71593	시험 결혼	trial marriage	
71594	시험 공장	pilot plant	
71595	시험 방송용 도형	test patten	
71596	시험 시험하다	(put to the  test	
71597	시험 판매하다	testmarket	
71598	시험 필의	tested	
71599	시험 할 수 있는	triable	
71600	시험 합격증	testamur	
71601	시험결혼	handfasting	
71602	시험공부		
71603	시험관	examinant, examiner, test tube, trier	
71604	시험관 아기	testtube baby	
71605	시험관 아기	tubebaby	
71606	시험관안에의	invitro	
71607	시험관에서 만들어낸	testtube	
71608	시험관의	examinatorial	
71609	시험구독료	introductory price	
71610	시험기	tester	
71611	시험기구	ballon dessai	
71612	시험대		
71613	시험문제	examination paper	
71614	시험물	test	
71615	시험삼아 하는	tentative	
71616	시험소		
71617	시험쇄	strikeoff	
71618	시험약이		
71619	시험에 견디다	test	
71620	시험용지	examination paper	
71621	시험을 거친	proof	
71622	시험을 거친	tested	
71623	시험의 결과	trial	
71624	시험이 끝난	tried	
71625	시험자	tester	
71626	시험장	experiment station	
71627	시험적	for trial purposes, for testing purposes	
71628	시험지	test paper	
71629	시험판	proof plane	
71630	시험하는	probative	
71631	시험하는	probatory	
71632	시험하다	to assay (test), to examine	
71633	시험하여물어보다	catechize	
71634	시험할 수 있는	testable	
71635	시험합격자	passer	
71636	시험해 보는 무름말	shibboleth	
71637	시험해 보다	try	
71638	시험해보다	try	
71639	시현	revealing/showing sth	
71640	시형	verse, versification	
71641	시형론의	prosodic	
